car_id,model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_reg,target_class,min_rating,mean_rating,total_distance,max_speed,total_rides,driver_age_mean,driver_rating_mean,driver_accident_mean,fix_count,avg_destroy_degree,total_work_duration,unique_work_types,feature_min_max_diff,feature_corner,feature_mean,feature_shift,feature_start,feature_nans,feature_quant
y13744087j,Kia Rio X-line,economy,petrol,3.78,2015,76163,2021,108.53,another_bug,0.1,4.737758620689656,12141310.405393252,180.85572556050948,174,33.51149425287356,8.229885057471265,17.724137931034484,35,3.0485714285714285,933,4,9.001,-0.012376620821058368,-0.12039080459770116,718399,0.0,0,0.001
O41613818T,VW Polo VI,economy,petrol,3.9,2015,78218,2021,35.2,electro_bug,0.0,4.48051724137931,18039092.838364355,187.8627335471007,174,34.98850574712644,7.988505747126437,6.9655172413793105,35,2.917142857142857,873,5,72.761,0.1477580804833221,6.050011494252874,210544,-7.057,0,16.691
d-2109686j,Renault Sandero,standart,petrol,6.3,2012,23340,2017,38.62,gear_stick,0.1,4.7683908045977015,15883659.427897697,102.38285735291586,174,32.839080459770116,7.843103448275862,9.775862068965518,35,3.74,915,5,16.401,0.024377212055832705,-2.2239540229885058,412085,-0.0,0,0.0
u29695600e,Mercedes-Benz GLC,business,petrol,4.04,2011,1263,2020,30.34,engine_fuel,0.1,3.880919540229885,16518828.765338147,172.79323664031617,174,34.97701149425287,8.524137931034483,19.991304347826087,35,4.085714285714285,1007,4,61.647000000000006,-0.028008175550387097,14.77194827586207,663553,-0.833,0,28.1855
N-8915870N,Renault Sandero,standart,petrol,4.7,2012,26428,2017,30.45,engine_fuel,0.1,4.181149425287356,13983174.664415987,203.46228927518268,174,34.298850574712645,8.112068965517242,15.758333333333333,35,3.8800000000000003,981,4,70.176,-0.010186220215612534,12.45567816091954,188363,-0.16,0,30.65725
b12101843B,Skoda Rapid,economy,petrol,2.36,2013,42176,2018,50.93,engine_ignition,0.1,4.3517816091954025,10855890.99269225,180.88628937633771,174,34.310344827586206,8.020114942528735,7.436781609195402,35,3.568571428571429,831,4,36.147000000000006,-0.016901365224378254,1.213925287356322,389162,-2.846,0,7.9405
Q-9368117S,Nissan Qashqai,standart,petrol,5.32,2012,24611,2014,54.79,engine_overheat,0.1,4.392126436781609,8343280.331990728,174.98478561145714,174,33.02298850574713,7.818965517241379,9.232558139534884,35,3.0142857142857142,755,4,15.81,-0.029785976181539126,-4.27132183908046,234545,-0.0,0,-0.001
O-2124190y,Tesla Model 3,premium,electro,3.9,2017,116872,2019,50.26,gear_stick,0.1,4.7123563218390805,9793288.027071977,95.89073640916286,174,34.666666666666664,9.11896551724138,14.566265060240964,35,3.2314285714285713,970,3,74.92,-0.0518273098279102,-15.800086206896552,201745,-0.137,0,1.46425
h16895544p,Kia Sportage,standart,petrol,3.5,2014,56384,2017,33.24,gear_stick,0.32,4.507758620689655,16444046.8943617,101.79861494928544,174,32.4367816091954,7.8212643678160925,9.60919540229885,35,3.742857142857143,993,4,104.318,-0.12082904816570128,-16.88423563218391,477013,4.666,0,5.744
K77009462l,Smart ForFour,economy,petrol,4.56,2013,41309,2018,39.43,gear_stick,0.1,4.376839080459771,6975742.479808934,125.25498324154968,174,32.839080459770116,7.87183908045977,9.630057803468208,35,3.3085714285714283,882,4,29.016,-0.05631289274084783,-6.435413793103448,151703,1.024,0,1.023
s45684436W,VW Polo,economy,petrol,2.14,2012,22590,2018,50.61,engine_check,0.1,4.675804597701149,11412281.133244712,164.22020969763824,174,33.48850574712644,8.121264367816092,14.272,35,2.5457142857142854,1101,4,7.6,-0.04246766909583726,-1.7607241379310343,634454,0.0,0,0.001
E-7624014J,VW Polo VI,economy,petrol,5.0,2011,919,2017,31.35,electro_bug,0.0,4.226379310344828,12512904.708291572,187.0,174,34.00574712643678,8.040229885057471,8.10919540229885,35,3.742857142857143,985,4,64.002,-0.07632384873279377,-13.15762643678161,63409,-16.005,0,0.30924999999999997
I49569137x,Kia Rio,economy,petrol,3.92,2015,73646,2018,57.39,engine_check,0.16,4.70051724137931,7203696.103685387,153.54720575175003,174,35.5919540229885,8.112068965517242,14.991935483870968,35,2.5285714285714285,942,4,53.887,0.04861433549624786,-3.026522988505747,126099,-3.512,0,3.14975
f20619972B,Skoda Rapid,economy,petrol,4.02,2016,104165,2019,54.64,engine_check,0.1,4.57948275862069,9507010.723710977,158.0,174,33.35632183908046,8.114367816091955,17.390243902439025,35,3.2,1078,4,71.37299999999999,0.01137620336663498,21.65170114942529,449180,-4.215,0,37.13375
N18554472N,Smart Coupe,economy,petrol,5.42,2017,117210,2019,52.3,engine_check,0.1,4.6533908045977,15403820.892015133,164.0,174,32.91954022988506,8.14080459770115,17.417391304347827,35,2.7485714285714287,863,4,51.17,-0.050051488872664356,8.544557471264367,192924,26.638,0,18.122500000000002
O-2225875m,VW Tiguan,economy,petrol,5.64,2016,109471,2019,30.94,wheel_shake,0.13,4.642126436781609,12022996.443984438,126.51942289744318,174,36.229885057471265,8.035632183908046,16.81512605042017,35,3.3485714285714288,912,4,8.001,-0.01761994920064176,-1.8971436781609197,202379,-0.0,0,-0.001
B11433908y,VW Tiguan,economy,petrol,5.16,2014,58987,2021,31.72,engine_fuel,0.1,4.031896551724138,21195910.449065734,165.91195642713998,174,35.5919540229885,8.074137931034484,16.876033057851238,35,3.597142857142857,924,4,40.704,0.057448610981241335,18.380454022988506,22889,2.625,0,28.967750000000002
K20059604P,Skoda Rapid,economy,petrol,3.54,2016,101495,2016,33.75,electro_bug,0.0,4.285747126436782,13990353.22720816,209.98283950882248,174,34.00574712643678,8.017241379310345,7.166666666666667,35,3.051428571428571,992,4,72.952,-0.09690521536339283,-12.660580459770113,149104,1.954,0,-1.41975
D10115495S,Smart ForTwo,economy,petrol,5.02,2016,108995,2018,39.47,gear_stick,0.1,4.387931034482759,9269709.531679643,101.83942030119768,174,35.01149425287356,7.840229885057472,9.045977011494253,35,4.094285714285714,1023,4,55.623000000000005,0.13429190806490296,-5.730689655172414,51892,-26.717,0,5.4015
s-2136281x,Smart ForTwo,economy,petrol,5.08,2016,95935,2014,36.87,engine_fuel,0.1,3.85867816091954,16657027.634673882,161.08277896296124,174,35.1551724137931,8.032183908045976,18.08,35,3.717142857142857,1059,3,53.992,-0.21746211149804845,20.876827586206897,625274,-0.678,0,28.6695
z72983842Y,Kia Rio X,economy,petrol,4.7,2013,41150,2021,18.92,gear_stick,0.1,4.456436781609195,16192147.011219418,120.02441407681069,174,31.7183908045977,7.829885057471265,9.491329479768787,35,4.388571428571429,1062,3,67.19800000000001,0.040438130106393265,-14.893545977011494,738382,-5.655,0,1.68775
s-1094161i,Mercedes-Benz E200,business,petrol,5.32,2011,1299,2019,45.48,engine_overheat,0.1,4.447126436781609,20427293.78814421,175.24442527517795,174,34.64367816091954,8.086206896551724,9.739884393063583,35,3.8485714285714283,894,3,49.550000000000004,0.012815591682613139,29.521649425287354,621452,36.509,0,39.804249999999996
