model,car_type,fuel_type,max_speed,avg_destroy_degree,speed_avg_mean,speed_avg_std,min_rating,mean_rating,driver_rating_mean,driver_accident_mean,total_work_duration,target_class,target_reg
Kia Rio X-line,economy,petrol,180.85572556050948,3.0485714285714285,44.660919540229884,9.736705551042842,0.1,4.737758620689656,8.229885057471265,17.724137931034484,933,another_bug,108.53
VW Polo VI,economy,petrol,187.8627335471007,2.917142857142857,49.86206896551724,15.183023995896077,0.0,4.48051724137931,7.988505747126437,6.9655172413793105,873,electro_bug,35.2
Renault Sandero,standart,petrol,102.38285735291586,3.74,44.00574712643678,9.675364775687878,0.1,4.7683908045977015,7.843103448275862,9.775862068965518,915,gear_stick,38.62
Mercedes-Benz GLC,business,petrol,172.79323664031617,4.085714285714285,49.3448275862069,14.815105231947742,0.1,3.880919540229885,8.524137931034483,19.991304347826087,1007,engine_fuel,30.34
Renault Sandero,standart,petrol,203.46228927518268,3.8800000000000003,50.60344827586207,14.754961530778921,0.1,4.181149425287356,8.112068965517242,15.758333333333333,981,engine_fuel,30.45
Skoda Rapid,economy,petrol,180.88628937633771,3.568571428571429,48.132183908045974,13.21147683109151,0.1,4.3517816091954025,8.020114942528735,7.436781609195402,831,engine_ignition,50.93
Nissan Qashqai,standart,petrol,174.98478561145714,3.0142857142857142,51.660919540229884,15.935018740840732,0.1,4.392126436781609,7.818965517241379,9.232558139534884,755,engine_overheat,54.79
Tesla Model 3,premium,electro,95.89073640916286,3.2314285714285713,43.85057471264368,9.71445348973437,0.1,4.7123563218390805,9.11896551724138,14.566265060240964,970,gear_stick,50.26
Kia Sportage,standart,petrol,101.79861494928544,3.742857142857143,43.132183908045974,9.132284018138487,0.32,4.507758620689655,7.8212643678160925,9.60919540229885,993,gear_stick,33.24
Smart ForFour,economy,petrol,125.25498324154968,3.3085714285714283,44.95977011494253,11.043978923697683,0.1,4.376839080459771,7.87183908045977,9.630057803468208,882,gear_stick,39.43
VW Polo,economy,petrol,164.22020969763824,2.5457142857142854,45.695402298850574,10.540002610983182,0.1,4.675804597701149,8.121264367816092,14.272,1101,engine_check,50.61
VW Polo VI,economy,petrol,187.0,3.742857142857143,49.770114942528735,13.900722440930018,0.0,4.226379310344828,8.040229885057471,8.10919540229885,985,electro_bug,31.35
Kia Rio,economy,petrol,153.54720575175003,2.5285714285714285,44.0,10.008666764590789,0.16,4.70051724137931,8.112068965517242,14.991935483870968,942,engine_check,57.39
Skoda Rapid,economy,petrol,158.0,3.2,44.166666666666664,10.132693798904153,0.1,4.57948275862069,8.114367816091955,17.390243902439025,1078,engine_check,54.64
Smart Coupe,economy,petrol,164.0,2.7485714285714287,45.64367816091954,9.807955967772443,0.1,4.6533908045977,8.14080459770115,17.417391304347827,863,engine_check,52.3
VW Tiguan,economy,petrol,126.51942289744318,3.3485714285714288,44.53448275862069,10.574069358317011,0.13,4.642126436781609,8.035632183908046,16.81512605042017,912,wheel_shake,30.94
VW Tiguan,economy,petrol,165.91195642713998,3.597142857142857,50.304597701149426,14.671126202745082,0.1,4.031896551724138,8.074137931034484,16.876033057851238,924,engine_fuel,31.72
Skoda Rapid,economy,petrol,209.98283950882248,3.051428571428571,48.37356321839081,14.018303145111203,0.0,4.285747126436782,8.017241379310345,7.166666666666667,992,electro_bug,33.75
Smart ForTwo,economy,petrol,101.83942030119768,4.094285714285714,44.67816091954023,9.576578187297558,0.1,4.387931034482759,7.840229885057472,9.045977011494253,1023,gear_stick,39.47
Smart ForTwo,economy,petrol,161.08277896296124,3.717142857142857,52.632183908045974,14.595204646430435,0.1,3.85867816091954,8.032183908045976,18.08,1059,engine_fuel,36.87
Kia Rio X,economy,petrol,120.02441407681069,4.388571428571429,44.339080459770116,10.379223982506492,0.1,4.456436781609195,7.829885057471265,9.491329479768787,1062,gear_stick,18.92
