car_id,model,car_type,fuel_type,target_class,min_rating,mean_rating,max_speed,driver_rating_mean,driver_accident_mean,avg_destroy_degree,total_work_duration,speed_avg_mean,speed_avg_std,year,price,power,box
y13744087j,Kia Rio X-line,economy,petrol,another_bug,0.1,4.737758620689656,180.85572556050948,8.229885057471265,17.724137931034484,3.0485714285714285,933,44.66091954022989,9.736705551042842,2020.0,944900.0,100.0,Механическая
O41613818T,VW Polo VI,economy,petrol,electro_bug,0.0,4.48051724137931,187.8627335471007,7.988505747126437,6.965517241379311,2.917142857142857,873,49.86206896551724,15.183023995896075,,,,
d-2109686j,Renault Sandero,standart,petrol,gear_stick,0.1,4.7683908045977015,102.38285735291586,7.843103448275862,9.775862068965518,3.74,915,44.00574712643678,9.675364775687878,2018.0,697000.0,82.0,Механическая
u29695600e,Mercedes-Benz GLC,business,petrol,engine_fuel,0.1,3.880919540229885,172.79323664031617,8.524137931034483,19.991304347826087,4.085714285714285,1007,49.3448275862069,14.815105231947742,2019.0,4690000.0,197.0,Классический автомат
N-8915870N,Renault Sandero,standart,petrol,engine_fuel,0.1,4.181149425287356,203.46228927518268,8.112068965517242,15.758333333333333,3.88,981,50.60344827586207,14.75496153077892,2018.0,697000.0,82.0,Механическая
b12101843B,Skoda Rapid,economy,petrol,engine_ignition,0.1,4.3517816091954025,180.8862893763377,8.020114942528735,7.436781609195402,3.568571428571429,831,48.13218390804597,13.21147683109151,2019.0,847000.0,90.0,Механическая
Q-9368117S,Nissan Qashqai,standart,petrol,engine_overheat,0.1,4.392126436781609,174.98478561145714,7.818965517241379,9.232558139534884,3.0142857142857142,755,51.66091954022989,15.935018740840732,2017.0,1413000.0,115.0,Механическая
O-2124190y,Tesla Model 3,premium,electro,gear_stick,0.1,4.7123563218390805,95.89073640916286,9.11896551724138,14.566265060240964,3.2314285714285718,970,43.85057471264368,9.71445348973437,,,,
h16895544p,Kia Sportage,standart,petrol,gear_stick,0.32,4.507758620689655,101.79861494928544,7.8212643678160925,9.60919540229885,3.742857142857143,993,43.13218390804597,9.132284018138488,2018.0,1544900.0,150.0,Механическая
K77009462l,Smart ForFour,economy,petrol,gear_stick,0.1,4.376839080459771,125.25498324154968,7.87183908045977,9.630057803468208,3.3085714285714283,882,44.95977011494253,11.043978923697685,2014.0,890000.0,71.0,Механическая
s45684436W,VW Polo,economy,petrol,engine_check,0.1,4.675804597701149,164.22020969763824,8.121264367816092,14.272,2.5457142857142854,1101,45.695402298850574,10.540002610983182,,,,
E-7624014J,VW Polo VI,economy,petrol,electro_bug,0.0,4.226379310344828,187.0,8.040229885057471,8.10919540229885,3.742857142857143,985,49.770114942528735,13.900722440930018,,,,
